iter	MultiClass
0	1.292720434
1	1.110032151
2	0.9325671114
3	0.8219210126
4	0.7239057114
5	0.6174486631
6	0.5510386014
7	0.4899170785
8	0.4386109705
9	0.4011915025
10	0.3572964509
11	0.3282566652
12	0.2875150047
13	0.2580958648
14	0.2390990397
15	0.218608105
16	0.2049047965
17	0.1882095599
18	0.1683108729
19	0.155653523
20	0.1445269148
21	0.1341269021
22	0.1247833491
23	0.117688458
24	0.1105082813
25	0.1036334213
26	0.09910331806
27	0.09447500624
28	0.09025976461
29	0.08571730776
30	0.08258898543
31	0.07845375176
32	0.07591546222
33	0.07333376715
34	0.07115400746
35	0.06893232359
36	0.06680014833
37	0.0645904374
38	0.06239179105
39	0.06036014128
40	0.05869152318
41	0.05686426336
42	0.05533817135
43	0.05350930969
44	0.05199925267
45	0.05087843406
46	0.04905722033
47	0.04780957559
48	0.04665237878
49	0.04497851619
50	0.04365906808
51	0.04238344506
52	0.04145705551
53	0.04063694112
54	0.0396380617
55	0.03871134346
56	0.03732431288
57	0.03653886153
58	0.03594072055
59	0.03519250629
60	0.03416547972
61	0.03355935362
62	0.03286001293
63	0.03190251749
64	0.03123729671
65	0.03073540544
66	0.0299986456
67	0.02939434563
68	0.0287901551
69	0.02830393764
70	0.02767642213
71	0.02720477063
72	0.02683476658
73	0.02627620147
74	0.02592302863
75	0.02551543765
76	0.02498880395
77	0.02466817107
78	0.02418282043
79	0.02377809449
80	0.02328800349
81	0.02301886874
82	0.02266962687
83	0.02236808766
84	0.02204965542
85	0.02186298874
86	0.02158527086
87	0.02128819774
88	0.02095288094
89	0.02056926249
90	0.02035827163
91	0.02012659399
92	0.019857386
93	0.01955140271
94	0.01929541862
95	0.01904447729
96	0.01872439008
97	0.01854370289
98	0.01832671765
99	0.01815146314
