iter	Passed	Remaining
0	57	5732
1	94	4624
2	124	4023
3	154	3699
4	186	3552
5	228	3578
6	266	3539
7	300	3455
8	330	3345
9	363	3272
10	400	3242
11	433	3177
12	477	3198
13	505	3107
14	553	3134
15	582	3058
16	626	3056
17	656	2989
18	732	3123
19	774	3098
20	824	3100
21	864	3066
22	903	3023
23	945	2993
24	985	2955
25	1046	2979
26	1092	2954
27	1135	2920
28	1178	2886
29	1228	2867
30	1260	2805
31	1292	2747
32	1341	2724
33	1416	2749
34	1461	2713
35	1500	2667
36	1542	2627
37	1591	2596
38	1631	2551
39	1673	2510
40	1717	2471
41	1765	2437
42	1797	2382
43	1841	2343
44	1886	2305
45	1930	2266
46	1975	2227
47	2030	2200
48	2074	2159
49	2110	2110
50	2150	2066
51	2183	2015
52	2216	1965
53	2252	1918
54	2281	1867
55	2312	1817
56	2345	1769
57	2374	1719
58	2405	1671
59	2436	1624
60	2476	1583
61	2525	1548
62	2563	1505
63	2597	1461
64	2632	1417
65	2663	1372
66	2690	1325
67	2727	1283
68	2779	1248
69	2811	1205
70	2842	1161
71	2867	1115
72	2892	1069
73	2919	1025
74	2945	981
75	2976	940
76	3020	902
77	3053	861
78	3085	820
79	3117	779
80	3148	738
81	3179	697
82	3208	657
83	3238	616
84	3272	577
85	3287	535
86	3323	496
87	3351	456
88	3381	417
89	3414	379
90	3454	341
91	3499	304
92	3528	265
93	3556	227
94	3587	188
95	3618	150
96	3653	113
97	3682	75
98	3715	37
99	3766	0
